,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1342,Brunswick,64 Hanover St,3,h,1250000.0,S,Ray,2016-05-22,5.2,3056,3,1,1,483.0,162.0,1890,Moreland,-37.7602,144.9543,Northern Metropolitan,11918
1343,Brunswick,1/21 Jones St,2,h,542000.0,S,Raine,2016-05-22,5.2,3056,2,1,1,0.0,151.97,1970,Moreland,-37.7618,144.9662,Northern Metropolitan,11918
1344,Brunswick,8/2 Pottery Ct,3,t,641000.0,SP,RW,2016-05-22,5.2,3056,3,2,1,0.0,112.0,1900,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
1346,Brunswick,58 Cassels Rd,3,h,860000.0,S,Ray,2016-08-22,5.2,3056,3,1,1,184.0,104.0,1890,Moreland,-37.7563,144.96,Northern Metropolitan,11918
1347,Brunswick,2/825 Park St,1,u,440000.0,S,Nelson,2016-08-22,5.2,3056,1,1,1,0.0,151.97,1970,Moreland,-37.7769,144.9523,Northern Metropolitan,11918
1348,Brunswick,26 Talbot St,2,h,860000.0,SP,Jellis,2016-08-22,5.2,3056,2,1,0,153.0,151.97,1970,Moreland,-37.7657,144.9574,Northern Metropolitan,11918
1349,Brunswick,4 McPherson St,3,h,835000.0,PI,Jellis,2016-04-23,5.2,3056,3,1,0,302.0,151.97,1970,Moreland,-37.758,144.9724,Northern Metropolitan,11918
1351,Brunswick,94 Wilson St,2,h,800000.0,S,Biggin,2016-04-23,5.2,3056,2,1,0,137.0,151.97,1970,Moreland,-37.7745,144.9558,Northern Metropolitan,11918
1352,Brunswick,270 Albion St,3,h,880000.0,S,Nelson,2016-09-24,5.2,3056,3,1,1,264.0,117.0,1915,Moreland,-37.7603,144.9573,Northern Metropolitan,11918
1353,Brunswick,1 Davison St,3,h,1000000.0,S,Nelson,2016-09-24,5.2,3056,3,1,1,370.0,151.97,1970,Moreland,-37.7632,144.9572,Northern Metropolitan,11918
1354,Brunswick,2/18 De Carle St,2,t,754000.0,S,Nelson,2016-09-24,5.2,3056,2,2,1,177.0,105.0,2000,Moreland,-37.7625,144.9653,Northern Metropolitan,11918
1356,Brunswick,5/6 Pottery Ct,2,u,590000.0,S,Woodards,2016-09-24,5.2,3056,2,1,1,0.0,74.0,2004,Moreland,-37.7703,144.9533,Northern Metropolitan,11918
1358,Brunswick,41 Eveline St,2,h,1020000.0,S,Jellis,2017-02-25,5.2,3056,2,1,1,279.0,151.97,1970,Moreland,-37.77,144.9633,Northern Metropolitan,11918
1359,Brunswick,28 Frederick St,3,h,1510000.0,S,Nelson,2017-02-25,5.2,3056,3,1,0,325.0,150.0,1920,Moreland,-37.7621,144.9595,Northern Metropolitan,11918
1360,Brunswick,3/30 Heller St,2,t,801000.0,S,Jellis,2017-02-25,5.2,3056,2,2,1,156.0,87.0,2007,Moreland,-37.7744,144.9498,Northern Metropolitan,11918
1363,Brunswick,4 Frederick St,3,h,1170000.0,S,Nelson,2016-07-26,5.2,3056,3,1,0,285.0,104.0,1890,Moreland,-37.7634,144.9593,Northern Metropolitan,11918
1364,Brunswick,4 Bell St,4,h,1790000.0,S,Ray,2016-06-27,5.2,3056,3,1,1,416.0,129.0,1920,Moreland,-37.7737,144.965,Northern Metropolitan,11918
1365,Brunswick,2/123 Brunswick Rd,3,t,640000.0,PI,Walshe,2016-06-27,5.2,3056,3,2,1,110.0,118.0,2000,Moreland,-37.7776,144.9691,Northern Metropolitan,11918
1366,Brunswick,4 Bryant St,4,h,820000.0,VB,Nelson,2016-06-27,5.2,3056,3,1,0,416.0,151.97,1970,Moreland,-37.76300000000001,144.9598,Northern Metropolitan,11918
1369,Brunswick,11 William St,3,t,705000.0,PI,Nelson,2016-06-27,5.2,3056,2,1,1,55.0,111.0,2012,Moreland,-37.7611,144.9622,Northern Metropolitan,11918
1370,Brunswick,10/150 Brunswick Rd,1,u,240000.0,PI,Hodges,2016-11-27,5.2,3056,1,1,1,0.0,151.97,1970,Moreland,-37.7776,144.9633,Northern Metropolitan,11918
1372,Brunswick,7 Hall St,4,h,1217000.0,S,Walshe,2016-11-27,5.2,3056,4,1,0,363.0,127.0,1920,Moreland,-37.7621,144.9506,Northern Metropolitan,11918
1373,Brunswick,7 Louisa St,3,h,1020000.0,SP,Jellis,2016-11-27,5.2,3056,3,1,3,308.0,119.0,1943,Moreland,-37.7649,144.9641,Northern Metropolitan,11918
1374,Brunswick,302/34 Union St,2,u,1180000.0,PI,Jellis,2016-11-27,5.2,3056,2,1,1,0.0,151.97,2010,Moreland,-37.7738,144.9585,Northern Metropolitan,11918
1375,Brunswick,26 Warburton St,3,h,1340000.0,S,Nelson,2016-11-27,5.2,3056,3,1,1,316.0,132.0,1910,Moreland,-37.7741,144.9703,Northern Metropolitan,11918
1377,Brunswick,19 Horne St,3,h,1550000.0,S,Nelson,2016-05-28,5.2,3056,3,1,1,346.0,126.0,1900,Moreland,-37.7738,144.9695,Northern Metropolitan,11918
1379,Brunswick,60 Rose St,3,h,947000.0,S,Woodards,2016-05-28,5.2,3056,3,1,2,996.0,151.97,1970,Moreland,-37.7564,144.9527,Northern Metropolitan,11918
1380,Brunswick,2/22 Saxon St,2,u,592500.0,S,Nelson,2016-05-28,5.2,3056,2,1,2,0.0,89.0,2002,Moreland,-37.7706,144.9608,Northern Metropolitan,11918
1381,Brunswick,38 Stewart St,3,h,1317000.0,S,Nelson,2016-05-28,5.2,3056,3,1,1,480.0,151.97,1970,Moreland,-37.7639,144.966,Northern Metropolitan,11918
1383,Brunswick,46 Tinning St,2,h,765000.0,S,Nelson,2016-05-28,5.2,3056,2,1,1,199.0,120.0,1880,Moreland,-37.759,144.9597,Northern Metropolitan,11918
1384,Brunswick,10 Cliff St,1,h,772000.0,SP,Collins,2016-08-28,5.2,3056,1,1,1,147.0,82.0,1890,Moreland,-37.7643,144.9584,Northern Metropolitan,11918
1385,Brunswick,69 Glenlyon Rd,3,h,1210000.0,S,Nelson,2016-08-28,5.2,3056,3,2,1,280.0,130.0,1890,Moreland,-37.7719,144.9661,Northern Metropolitan,11918
1387,Brunswick,30 Mountfield St,2,h,1073000.0,S,Jellis,2016-08-28,5.2,3056,2,1,1,182.0,151.97,1970,Moreland,-37.7629,144.968,Northern Metropolitan,11918
1388,Brunswick,109 Stewart St,3,h,1080000.0,S,Nelson,2016-08-28,5.2,3056,3,2,1,316.0,151.97,1970,Moreland,-37.7643,144.9713,Northern Metropolitan,11918
1389,Brunswick,411 Barkly St,2,h,945000.0,S,Jellis,2016-07-30,5.2,3056,2,1,2,246.0,103.0,1910,Moreland,-37.775,144.9536,Northern Metropolitan,11918
1390,Brunswick,52 Talbot St,2,h,755000.0,S,Nelson,2016-07-30,5.2,3056,2,1,1,159.0,157.0,1930,Moreland,-37.7656,144.9562,Northern Metropolitan,11918
1391,Brunswick West,8/7 Passfield St,2,u,521500.0,S,Peter,2016-09-03,5.9,3055,2,1,1,0.0,69.0,1960,Moreland,-37.768,144.9408,Northern Metropolitan,7082
1392,Brunswick West,9/610 Moreland Rd,2,u,320000.0,PI,Nelson,2016-12-03,5.9,3055,2,1,1,0.0,151.97,1980,Moreland,-37.7514,144.9288,Northern Metropolitan,7082
1393,Brunswick West,25 Wales St,3,h,1190000.0,S,Nelson,2016-12-03,5.9,3055,3,1,1,0.0,119.0,1920,Moreland,-37.7564,144.9422,Northern Metropolitan,7082
1394,Brunswick West,89 Pearson St,3,h,942000.0,S,McDonald,2017-03-04,5.9,3055,3,1,0,358.0,151.97,1970,Moreland,-37.7642,144.9493,Northern Metropolitan,7082
1396,Brunswick West,4/1 Allard St,2,u,473000.0,S,Harrington,2016-06-04,5.9,3055,2,1,2,568.0,151.97,1970,Moreland,-37.7682,144.9422,Northern Metropolitan,7082
1397,Brunswick West,5 Halpin St,3,h,1200000.0,S,Nelson,2016-06-04,5.9,3055,3,1,1,600.0,151.97,1970,Moreland,-37.769,144.9478,Northern Metropolitan,7082
1398,Brunswick West,42 Whitby St,4,h,930000.0,S,Nelson,2016-06-04,5.9,3055,4,2,2,299.0,151.97,1970,Moreland,-37.764,144.9454,Northern Metropolitan,7082
1400,Brunswick West,64 Pearson St,3,h,955000.0,S,hockingstuart,2016-05-07,5.9,3055,3,1,0,220.0,93.0,1930,Moreland,-37.7659,144.9494,Northern Metropolitan,7082
1402,Brunswick West,11/7 Egginton St,2,t,380000.0,VB,Nelson,2016-11-07,5.9,3055,2,1,1,0.0,85.0,1970,Moreland,-37.7607,144.9393,Northern Metropolitan,7082
1404,Brunswick West,10 Yarrabin St,3,h,810000.0,S,Brad,2016-11-07,5.9,3055,3,1,2,349.0,95.0,1950,Moreland,-37.7589,144.9368,Northern Metropolitan,7082
1405,Brunswick West,4/22 Murray St,2,u,380000.0,PI,Brad,2016-09-10,5.9,3055,2,1,1,0.0,151.97,1970,Moreland,-37.7594,144.9427,Northern Metropolitan,7082
1406,Brunswick West,81 Melville Rd,3,h,793000.0,S,Ray,2016-12-10,5.9,3055,3,1,0,275.0,119.0,1935,Moreland,-37.76300000000001,144.9439,Northern Metropolitan,7082
1408,Brunswick West,107/480 Albion St,2,u,400500.0,SP,Nelson,2017-02-11,5.9,3055,2,1,1,0.0,70.0,2013,Moreland,-37.7582,144.94,Northern Metropolitan,7082
1409,Brunswick West,1/572 Moreland Rd,3,t,797500.0,S,Nelson,2017-02-11,5.9,3055,3,2,2,262.0,155.0,2010,Moreland,-37.7519,144.9324,Northern Metropolitan,7082
1410,Brunswick West,18/180 Union St,2,u,435000.0,S,Nelson,2016-06-12,5.9,3055,2,1,1,0.0,151.97,2002,Moreland,-37.7727,144.9497,Northern Metropolitan,7082
1411,Brunswick West,468 Moreland Rd,3,h,920000.0,S,Jellis,2016-11-12,5.9,3055,3,1,2,501.0,151.97,1970,Moreland,-37.753,144.9421,Northern Metropolitan,7082
1412,Brunswick West,915 Park St,3,h,1172000.0,S,Stockdale,2016-11-12,5.9,3055,3,1,2,512.0,151.97,1970,Moreland,-37.7758,144.9435,Northern Metropolitan,7082
1413,Brunswick West,121 Pearson St,3,h,1300000.0,PI,Jellis,2016-11-12,5.9,3055,3,1,2,364.0,135.0,1900,Moreland,-37.7618,144.9497,Northern Metropolitan,7082
1414,Brunswick West,81 Whitby St,3,h,1330000.0,S,Nelson,2016-11-12,5.9,3055,3,1,2,353.0,101.0,1930,Moreland,-37.764,144.9428,Northern Metropolitan,7082
1415,Brunswick West,24 Burnell St,3,h,1245000.0,S,Barry,2016-05-14,5.9,3055,3,1,1,412.0,151.97,1934,Moreland,-37.7618,144.9455,Northern Metropolitan,7082
1416,Brunswick West,102 Melville Rd,2,h,900000.0,SP,hockingstuart,2016-05-14,5.9,3055,2,1,1,410.0,151.97,1970,Moreland,-37.7613,144.9446,Northern Metropolitan,7082
1419,Brunswick West,171 Union St,3,h,1095000.0,S,Nelson,2016-10-15,5.9,3055,3,1,1,411.0,168.0,1935,Moreland,-37.7728,144.9478,Northern Metropolitan,7082
1420,Brunswick West,2/243 Union St,2,t,680000.0,VB,Nelson,2016-10-15,5.9,3055,2,1,1,0.0,82.0,1970,Moreland,-37.772,144.9406,Northern Metropolitan,7082
1421,Brunswick West,201 Hope St,2,h,711000.0,S,Nelson,2016-04-16,5.9,3055,2,1,1,177.0,87.0,1910,Moreland,-37.7619,144.9412,Northern Metropolitan,7082
1423,Brunswick West,194 Dawson St,3,h,1186000.0,S,Nelson,2016-07-16,5.9,3055,3,1,3,608.0,151.97,1970,Moreland,-37.7694,144.9448,Northern Metropolitan,7082
1424,Brunswick West,5/8 Murray St,2,u,500000.0,S,Brad,2016-07-16,5.9,3055,2,1,1,0.0,75.0,1970,Moreland,-37.7595,144.9436,Northern Metropolitan,7082
1425,Brunswick West,33 Whitby St,2,h,1005000.0,S,Nelson,2016-09-17,5.9,3055,2,1,1,284.0,151.97,1926,Moreland,-37.7646,144.9476,Northern Metropolitan,7082
1427,Brunswick West,5/21 Cumming St,2,u,656000.0,S,Collins,2017-03-18,5.9,3055,2,1,1,0.0,151.97,1970,Moreland,-37.7609,144.9425,Northern Metropolitan,7082
1430,Brunswick West,29 Grantham St,4,h,988000.0,S,Nelson,2016-11-19,5.9,3055,4,1,1,384.0,151.97,1970,Moreland,-37.7733,144.9491,Northern Metropolitan,7082
1431,Brunswick West,3/447 Brunswick Rd,2,u,400000.0,S,Nelson,2016-05-22,5.9,3055,2,1,1,0.0,151.97,1970,Moreland,-37.7752,144.9463,Northern Metropolitan,7082
1435,Brunswick West,7 Morrow St,3,h,910000.0,S,Brad,2016-08-22,5.9,3055,3,1,2,717.0,141.0,1950,Moreland,-37.7525,144.9321,Northern Metropolitan,7082
1437,Brunswick West,9 Peacock St,4,h,921500.0,S,Ray,2016-08-22,5.9,3055,3,1,1,575.0,165.0,1930,Moreland,-37.7575,144.9402,Northern Metropolitan,7082
1438,Brunswick West,1 Culloden St,3,h,995000.0,S,Brad,2016-04-23,5.9,3055,3,1,2,505.0,151.97,1970,Moreland,-37.757,144.9446,Northern Metropolitan,7082
1440,Brunswick West,1 Jordan St,2,h,1315000.0,S,Nelson,2016-09-24,5.9,3055,2,1,2,554.0,116.0,1930,Moreland,-37.7715,144.9426,Northern Metropolitan,7082
1442,Brunswick West,1/464 Victoria St,2,t,735000.0,S,Jellis,2016-09-24,5.9,3055,2,1,2,120.0,109.0,2004,Moreland,-37.7659,144.9487,Northern Metropolitan,7082
1443,Brunswick West,15 Wallace St,4,h,1000000.0,S,Nelson,2016-09-24,5.9,3055,3,1,1,589.0,148.0,1935,Moreland,-37.7628,144.9459,Northern Metropolitan,7082
1445,Brunswick West,871 Park St,4,h,1700000.0,PI,Jellis,2017-02-25,5.9,3055,4,2,2,621.0,184.0,1920,Moreland,-37.7764,144.9479,Northern Metropolitan,7082
1446,Brunswick West,12 Hamilton St,2,h,820000.0,S,Jellis,2016-07-26,5.9,3055,3,1,1,206.0,98.0,1900,Moreland,-37.7604,144.9488,Northern Metropolitan,7082
1449,Brunswick West,2/494 Victoria St,3,t,815000.0,S,Ray,2016-06-27,5.9,3055,3,1,2,157.0,123.0,1999,Moreland,-37.7652,144.9454,Northern Metropolitan,7082
1450,Brunswick West,487 Brunswick Rd,3,h,1150000.0,VB,Jellis,2016-11-27,5.9,3055,3,1,2,726.0,151.97,1950,Moreland,-37.7747,144.9421,Northern Metropolitan,7082
1451,Brunswick West,1/312 Hope St,1,u,351000.0,PI,Nelson,2016-11-27,5.9,3055,1,1,1,0.0,151.97,1970,Moreland,-37.7614,144.9393,Northern Metropolitan,7082
1452,Brunswick West,53 Heller St,4,h,1150000.0,VB,Nelson,2016-05-28,5.9,3055,4,1,2,519.0,169.0,1910,Moreland,-37.7747,144.9474,Northern Metropolitan,7082
1453,Brunswick West,4/38 Melville Rd,2,t,598000.0,S,Nelson,2016-05-28,5.9,3055,2,1,1,69.0,151.97,2009,Moreland,-37.766,144.9439,Northern Metropolitan,7082
1454,Brunswick West,2/530 Victoria St,2,u,497000.0,S,Hodges,2016-05-28,5.9,3055,2,1,1,0.0,84.0,1977,Moreland,-37.7647,144.9412,Northern Metropolitan,7082
1455,Brunswick West,5/22 Whitby St,2,u,403000.0,S,hockingstuart,2016-05-28,5.9,3055,2,1,2,0.0,151.97,1970,Moreland,-37.7643,144.9477,Northern Metropolitan,7082
1457,Brunswick West,196 Melville Rd,2,h,816000.0,S,Nelson,2016-08-28,5.9,3055,3,2,1,343.0,115.0,1930,Moreland,-37.7552,144.9458,Northern Metropolitan,7082
1458,Brunswick West,481 Albion St,4,h,1585000.0,SP,Gunn&Co,2016-07-30,5.9,3055,4,1,2,562.0,151.97,1920,Moreland,-37.7583,144.9428,Northern Metropolitan,7082
1459,Brunswick West,16 Bakers Pde,4,h,970000.0,PI,Nelson,2016-07-30,5.9,3055,4,3,2,499.0,150.0,1925,Moreland,-37.7538,144.944,Northern Metropolitan,7082
1460,Bulleen,19a Elizabeth St,3,u,851000.0,S,Jellis,2016-09-03,11.8,3105,3,1,2,385.0,140.0,2000,Manningham,-37.7599,145.0849,Eastern Metropolitan,4480
1461,Bulleen,42 Robert St,4,h,1300000.0,S,Jellis,2016-09-03,11.8,3105,4,1,2,717.0,180.0,1960,Manningham,-37.7608,145.0862,Eastern Metropolitan,4480
1462,Bulleen,92 Swanston St,4,h,1110000.0,PI,Barry,2016-09-03,11.8,3105,3,2,2,562.0,151.97,1970,Manningham,-37.7628,145.0994,Eastern Metropolitan,4480
1464,Bulleen,28 Rocklea Rd,4,h,1505000.0,S,Jellis,2016-12-03,11.8,3105,4,3,2,410.0,151.97,2012,Manningham,-37.7695,145.082,Eastern Metropolitan,4480
1465,Bulleen,4 Albany Pl,4,h,1303000.0,SP,Barry,2017-03-04,11.8,3105,4,2,2,670.0,197.0,1980,Manningham,-37.7695,145.0869,Eastern Metropolitan,4480
1467,Bulleen,130 Manningham Rd,3,h,880000.0,PI,Barry,2016-06-04,11.8,3105,3,2,2,514.0,190.0,1960,Manningham,-37.7683,145.0959,Eastern Metropolitan,4480
1468,Bulleen,40 Riverview Tce,3,h,980000.0,S,Barry,2016-06-04,11.8,3105,3,1,1,701.0,151.97,1970,Manningham,-37.7729,145.09799999999996,Eastern Metropolitan,4480
1470,Bulleen,5 Fuller St,3,h,1127000.0,S,Jellis,2016-08-06,11.8,3105,3,1,2,631.0,151.97,1970,Manningham,-37.7778,145.0901,Eastern Metropolitan,4480
1471,Bulleen,13 Montgomery Pl,3,h,990000.0,PI,Barry,2016-08-06,11.8,3105,3,2,1,585.0,180.0,1950,Manningham,-37.7689,145.099,Eastern Metropolitan,4480
1473,Bulleen,28 Dale St,3,h,1340000.0,S,Barry,2016-05-07,11.8,3105,2,1,2,775.0,151.97,1965,Manningham,-37.779,145.101,Eastern Metropolitan,4480
1474,Bulleen,206 Manningham Rd,4,h,1225000.0,S,Ray,2016-05-07,11.8,3105,4,2,2,723.0,159.0,1970,Manningham,-37.7724,145.1033,Eastern Metropolitan,4480
1476,Bulleen,10a Elizabeth St,3,t,1250000.0,SP,Jellis,2016-10-08,11.8,3105,3,2,2,315.0,151.97,1960,Manningham,-37.7607,145.0853,Eastern Metropolitan,4480
1478,Bulleen,47 Sheahans Rd,4,h,1260000.0,S,Barry,2016-09-10,11.8,3105,4,2,2,730.0,151.97,1971,Manningham,-37.7606,145.0932,Eastern Metropolitan,4480
1479,Bulleen,38 Balwyn Rd,3,h,905000.0,S,Barry,2016-12-10,11.8,3105,3,3,2,401.0,165.0,1965,Manningham,-37.7733,145.0901,Eastern Metropolitan,4480
1480,Bulleen,11 Carrathool St,3,h,1400000.0,S,Barry,2016-12-10,11.8,3105,3,1,3,770.0,151.97,1970,Manningham,-37.7644,145.0886,Eastern Metropolitan,4480
1482,Bulleen,24 Robert St,4,h,1300000.0,SP,Jellis,2016-12-10,11.8,3105,4,3,1,604.0,151.97,1970,Manningham,-37.7621,145.086,Eastern Metropolitan,4480
1483,Bulleen,1/15 Estelle St,3,u,787000.0,S,Barry,2017-02-11,11.8,3105,3,1,2,306.0,100.0,1985,Manningham,-37.7792,145.0903,Eastern Metropolitan,4480
1485,Bulleen,14 Kandanga Gr,3,h,1075000.0,S,Jellis,2016-11-12,11.8,3105,3,1,1,604.0,96.0,1960,Manningham,-37.7711,145.0928,Eastern Metropolitan,4480
1486,Bulleen,153 Thompsons Rd,2,h,890000.0,S,Fletchers,2016-11-12,11.8,3105,2,1,2,559.0,151.97,1970,Manningham,-37.7739,145.094,Eastern Metropolitan,4480
1487,Bulleen,38 Rocklea Rd,4,h,1320000.0,PI,Jellis,2016-05-14,11.8,3105,4,3,2,411.0,151.97,1970,Manningham,-37.7698,145.083,Eastern Metropolitan,4480
1492,Bulleen,63 Thompsons Rd,4,h,1250000.0,S,Barry,2017-03-18,11.8,3105,4,2,2,732.0,151.97,1970,Manningham,-37.7771,145.0855,Eastern Metropolitan,4480
1493,Bulleen,28 Kenneth St,4,h,976000.0,S,Barry,2016-06-18,11.8,3105,4,1,1,701.0,151.97,1970,Manningham,-37.7786,145.0945,Eastern Metropolitan,4480
1494,Bulleen,15 Riverview Tce,2,h,980000.0,S,Fletchers,2016-06-18,11.8,3105,3,1,1,551.0,151.97,1970,Manningham,-37.7739,145.0962,Eastern Metropolitan,4480
1495,Bulleen,1/7 Westwood Dr,3,u,812500.0,S,Barry,2016-11-19,11.8,3105,3,1,1,421.0,151.97,1970,Manningham,-37.7798,145.1023,Eastern Metropolitan,4480
1496,Bulleen,14 Collins St,3,h,990000.0,PI,Barry,2016-08-22,11.8,3105,3,1,2,602.0,175.0,1975,Manningham,-37.7674,145.0988,Eastern Metropolitan,4480
1497,Bulleen,4 Graeme Ct,4,h,1244000.0,PI,Fletchers,2016-04-23,11.8,3105,4,2,2,530.0,151.97,1970,Manningham,-37.7735,145.088,Eastern Metropolitan,4480
1499,Bulleen,13 Birrarrung Ct,4,h,1475000.0,VB,Barry,2016-09-24,11.8,3105,4,2,2,617.0,151.97,1998,Manningham,-37.7569,145.0913,Eastern Metropolitan,4480
1500,Bulleen,42 Gisborne St,4,h,1140000.0,S,hockingstuart,2016-09-24,11.8,3105,4,2,3,554.0,151.97,1970,Manningham,-37.7624,145.0961,Eastern Metropolitan,4480
1501,Bulleen,43 Helene St,2,h,833000.0,S,Philip,2017-02-25,11.8,3105,2,1,0,359.0,151.97,1970,Manningham,-37.7609,145.0869,Eastern Metropolitan,4480
1502,Bulleen,28 Flinders St,2,h,903000.0,S,Barry,2016-07-26,11.8,3105,2,1,1,591.0,140.0,1965,Manningham,-37.7679,145.0978,Eastern Metropolitan,4480
1503,Bulleen,1 Fuller St,4,h,1351000.0,S,Jellis,2016-05-28,11.8,3105,4,2,2,740.0,151.97,1970,Manningham,-37.7781,145.0901,Eastern Metropolitan,4480
1504,Bulleen,13 Hillside Rd,2,h,1060000.0,S,Jellis,2016-05-28,11.8,3105,2,1,2,609.0,151.97,1970,Manningham,-37.7762,145.0958,Eastern Metropolitan,4480
1505,Bulleen,17 Kathleen Gr,3,h,1063000.0,S,Jellis,2016-05-28,11.8,3105,3,1,2,602.0,151.97,1970,Manningham,-37.7712,145.097,Eastern Metropolitan,4480
1507,Burwood,4 Bennett St,3,h,1390000.0,S,Fletchers,2016-12-03,11.7,3125,3,1,2,697.0,151.97,1970,Whitehorse,-37.851,145.1169,Southern Metropolitan,5678
1508,Burwood,7 Keogh St,3,h,1300000.0,SA,Stockdale,2016-12-03,11.7,3125,3,1,2,773.0,151.97,1960,Monash,-37.8562,145.1104,Southern Metropolitan,5678
1509,Burwood,35 McCubbin St,4,h,1890000.0,S,Ray,2016-12-03,11.7,3125,4,2,2,1145.0,111.0,1960,Whitehorse,-37.8538,145.127,Southern Metropolitan,5678
1510,Burwood,2/32 McIntyre St,3,u,1022500.0,S,Ray,2016-12-03,11.7,3125,3,2,2,265.0,130.0,2000,Whitehorse,-37.8516,145.1056,Southern Metropolitan,5678
1511,Burwood,1 Webb St,3,h,1250000.0,VB,Fletchers,2016-12-03,11.7,3125,3,1,1,662.0,151.97,1970,Monash,-37.8561,145.1054,Southern Metropolitan,5678
1512,Burwood,163 Highbury Rd,3,h,1151000.0,S,Buxton,2016-02-04,11.7,3125,3,1,1,695.0,151.97,1970,Whitehorse,-37.8551,145.1121,Southern Metropolitan,5678
1513,Burwood,30 Station St,3,h,1755000.0,S,Buxton,2016-02-04,11.7,3125,3,1,1,931.0,145.0,1970,Whitehorse,-37.854,145.1195,Southern Metropolitan,5678
1514,Burwood,1/109 Station St,3,u,686000.0,PI,Ray,2017-03-04,11.7,3125,3,1,2,273.0,151.97,1980,Whitehorse,-37.8473,145.1203,Southern Metropolitan,5678
1515,Burwood,2 Elgar Rd,3,h,1300000.0,S,Marshall,2016-06-04,11.7,3125,3,1,1,667.0,136.0,1950,Whitehorse,-37.8489,145.1093,Southern Metropolitan,5678
1516,Burwood,48 Station St,3,h,1160000.0,S,Greg,2016-06-04,11.7,3125,3,1,1,786.0,111.0,1950,Whitehorse,-37.8525,145.1198,Southern Metropolitan,5678
1518,Burwood,1/14 Corrigan St,3,h,790000.0,S,Fletchers,2016-11-07,11.7,3125,3,1,2,318.0,103.0,1960,Whitehorse,-37.8544,145.1114,Southern Metropolitan,5678
1519,Burwood,25 Greenwood St,4,h,1682000.0,S,Jellis,2016-10-08,11.7,3125,4,2,1,921.0,174.0,1950,Whitehorse,-37.8494,145.1291,Southern Metropolitan,5678
1520,Burwood,14/1 Conservatory Dr,3,u,625000.0,PI,Jellis,2016-09-10,11.7,3125,3,2,1,0.0,115.0,2002,Monash,-37.8561,145.0962,Southern Metropolitan,5678
1521,Burwood,2/22 Scott Gr,3,t,780000.0,VB,Jellis,2016-09-10,11.7,3125,3,2,2,160.0,151.97,1970,Whitehorse,-37.8525,145.0973,Southern Metropolitan,5678
1522,Burwood,2 Bennett St,3,h,1342000.0,S,McGrath,2016-12-10,11.7,3125,3,1,2,690.0,151.97,1970,Whitehorse,-37.8509,145.11700000000005,Southern Metropolitan,5678
1523,Burwood,12 Havelock St,4,h,1782800.0,SP,Buxton,2016-12-10,11.7,3125,4,2,2,804.0,151.97,1970,Whitehorse,-37.8516,145.1179,Southern Metropolitan,5678
1524,Burwood,3 Peacock St,3,h,1468000.0,S,Buxton,2017-02-11,11.7,3125,3,1,2,706.0,151.97,1970,Whitehorse,-37.8509,145.1161,Southern Metropolitan,5678
1525,Burwood,1/10 McComas Gr,2,u,650000.0,PI,Buxton,2017-03-11,11.7,3125,2,1,1,194.0,120.0,1975,Whitehorse,-37.8509,145.1119,Southern Metropolitan,5678
1529,Burwood,2a Iris St,2,h,633000.0,S,Noel,2016-05-14,11.7,3125,2,1,1,276.0,92.0,1965,Whitehorse,-37.8454,145.0971,Southern Metropolitan,5678
1530,Burwood,5 Keogh St,3,h,1070500.0,SP,Buxton,2016-05-14,11.7,3125,3,1,2,776.0,151.97,1970,Monash,-37.856,145.1104,Southern Metropolitan,5678
1531,Burwood,22 Andrews St,3,h,1175000.0,S,Noel,2016-10-15,11.7,3125,3,1,2,661.0,151.97,1970,Whitehorse,-37.8495,145.1282,Southern Metropolitan,5678
1532,Burwood,24 Wallace Rd,3,h,1521000.0,S,Marshall,2016-10-15,11.7,3125,3,2,2,660.0,151.97,1970,Whitehorse,-37.8474,145.0988,Southern Metropolitan,5678
1533,Burwood,29 Meldan St,2,h,1350000.0,S,Fletchers,2016-04-16,11.7,3125,2,1,2,593.0,82.0,1950,Whitehorse,-37.8444,145.1054,Southern Metropolitan,5678
1534,Burwood,1/392 Burwood Hwy,3,t,752000.0,S,Allens,2016-09-17,11.7,3125,4,2,2,217.0,151.97,1993,Whitehorse,-37.8522,145.1312,Southern Metropolitan,5678
1535,Burwood,1/46 Gillard St,3,h,570000.0,S,Ray,2016-09-17,11.7,3125,3,1,1,384.0,112.0,1950,Whitehorse,-37.8542,145.1138,Southern Metropolitan,5678
1536,Burwood,10 Hastings St,3,h,1460000.0,S,Marshall,2016-09-17,11.7,3125,3,1,2,742.0,151.97,1970,Whitehorse,-37.8529,145.0962,Southern Metropolitan,5678
1537,Burwood,2/3 Havelock St,3,t,745000.0,S,Noel,2016-09-17,11.7,3125,3,1,2,228.0,126.0,1998,Whitehorse,-37.8521,145.1187,Southern Metropolitan,5678
1539,Burwood,8/33 McIntyre St,3,u,746000.0,S,Buxton,2016-09-17,11.7,3125,3,1,2,308.0,92.0,1995,Whitehorse,-37.8505,145.1065,Southern Metropolitan,5678
1540,Burwood,19 Puerta St,3,h,1540000.0,S,Jellis,2016-09-17,11.7,3125,3,2,2,653.0,120.0,1950,Whitehorse,-37.8445,145.1011,Southern Metropolitan,5678
